pstation,event1,event2,reason
GE.GSI..BHZ,2007-10-27T18:35:15,2007-10-27T18:38:04,self-repeater that is not removed
PS.PSI..BHZ,2008-07-19T22:50:21,2008-07-20T21:36:47,outlier
MY.KUM..BHZ,2005-02-27T17:42:42,2009-01-14T22:46:09,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2005-04-27T06:31:42,2009-01-14T22:46:09,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2008-03-23T14:36:34,2009-01-14T22:46:09,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2008-08-10T17:15:43,2009-01-14T22:46:09,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2009-01-14T22:46:09,2009-09-04T03:09:57,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2009-01-14T22:46:09,2012-10-31T09:56:27,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2009-01-14T22:46:09,2013-05-15T19:59:43,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2009-01-14T22:46:09,2016-09-18T09:35:26,involves suspect event 2009-01-14T22:46:09
MY.KUM..BHZ,2005-05-04T15:07:29,2009-01-16T10:28:37,involves suspect event 2009-01-16T10:28:37
MY.KUM..BHZ,2005-08-19T13:05:09,2009-01-16T10:28:37,involves suspect event 2009-01-16T10:28:37
MY.KUM..BHZ,2006-01-11T08:50:10,2009-01-16T10:28:37,involves suspect event 2009-01-16T10:28:37
MY.KUM..BHZ,2009-01-16T10:28:37,2009-08-09T17:08:47,involves suspect event 2009-01-16T10:28:37
MY.KUM..BHZ,2009-01-16T10:28:37,2016-05-08T00:27:34,involves suspect event 2009-01-16T10:28:37
